"单遮眼","hair over one eye one eye covered"
"悲伤的少女","soaked,super hugeness breasts,long_hair,top-down_bottom-up,ass visible through thighs,Bare thigh,big ass,no_panties,thigh strap,(((masterpiece))),(((best quality))),((ultra-detailed))((extremely detailed CG)),((8k_wallpaper))((an extremely delicate and beautiful)),dynamic angle,floating, (beautiful detailed eyes),an extremely delicate and beautiful girl,(red moon), starry sky,shine,frills,half closed eyes,red eyes,burning,detailed light,(black_hair),bloom,(((miko))),((hair pink flowers)),{aqua eyes},(((small breast))),((miko)),(long_hair),nube,untied bikini,ponytail,green_hair/green_eyes,torn clothes,zentai,Long skirt,geta,glasses,medium_breasts,yellow_eyes,black hair,best quality,highres,petite,black string bikini,long_hair,solo,wet,medium_breasts,thigh strap,​ahega​o,torogao,lying on back,presenting armpit,open  legs,orgasm,glowing light,beautiful detailed sky,masterpiece,cinematiclighting,depthoffield,beautiful detailed water,ocean,chinese style architecture,no humans,detailed background,alpine,ahoge"
"虚灵神狼","{Black hair}, golden vertical pupil, black and white jacket, ((A girl has four arms. ))), ((Esdeath)), ((masterpiece)), (((super meticulous)), ((illustration)), ((unkempt hair)), ((ornaments)), (1 girl), (solo), dynamic angle,Beautiful eyes, overexposure, ((bad smile)), blunt bangs on the side, hair"
"鹅鹅","pantyhose,{{masterpiece}},(((best quality))), ((ultra-detailed)),{{{photorealistic}}}, overexposure,1 girl,very long hair,{{wet hair}},Nudity,tanlines,slim legs,large_breasts,puffy nipples,weatdrop, {wet},seiza,spread legs,exhibitionism,open  legs,Presenting Pudences,{pussy},(Semen outflow),(cum on body),bathing,shower, depth of field,cinematic angle ,backlighting,young girl,blush,naughty_face,nsfw"
"预设反向关键词","lowres, bad anatomy, bad hands, ((text)), (watermark), error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, normal quality, ((username)), blurry,  (extra limbs)"
"萝莉","extremely detailed CG,  blue hair, long hair,black pantyhose, healing, having sex, happy sex, heart inside eyes, anime eyes, cum, uncensored, pink pussy,semen on face,bdsm,m"
"识","naked,anime style, big sister, white hair, tied hair, nsfw, nude, tits, pussy, facing slightly right to Camra, slight smile, large breasts, ultra-quality, masturbating pussy, orgasm,Leakage of urine,tentacle_sex,insertionExtreme expansionstomach protrusion"
"白发美少女","pink camisole, high heel bootsk garter beltanties, garters,high_heels,pantyshot,wet,medium_breasts,white_hair,purple_eyes,looking_at_viewer,long_hair"
"巨乳的少女","pink camisole, high heel bootsk garter beltanties, garters,high_heels,pantyshot,wet,medium_breasts,white_hair,purple_eyes,looking_at_viewer,long_hair"
"帅气","Foggy grey hair,Blindfold hair,Blue grey eyes,suit,expressionless,Wolf tail hairstyle"
"胡桃","genshin imfact hutao,girl,brown hair with a little red, hat"
"嗯","from the Side below Black silk,dakimakura,topless male,yaoi,shorts,cat_pose,kneeling,wet,open_clothes,black_collar,bandaid,shota,1boy,aqua_eyes,open_mouth,shy,endured_face,fangs,indoors,{best quality}, {{masterpiece}}, {highres}, original, extremely detailed 8K wallpaper,  {an extremely delicate and beautiful},,perspective,lens 135mm,f1.8,dungeon background,pixiv id,slim waist,two boys,Delicate muscle lines,azur lane,azur lane,azur lane,succubus,bulge,bulge,bulge,linea alba,wolf ear fluff,ahoge,messy_hair,fangs,red eyes,white_hair,red_eyes,green_hair/green_eyes,looking at another,parted lips,tongue out,licking lips,evil smileevil grin,crying,heavy breathing,spread legs,between legs,barefoot,Bare thigh,skindentation	,orgasm,orgasm,fucked silly,naughty face,aquagradient eyes,heart-shaped pupils,latex,Maid dress,torn clothes,soaked,no_panties,insertionExtreme expansionstomach protrusion,Leakage of urine,cum_in_mouth,{NSFW}, shibari, arms behind back, gag,sex cum"
"正太","Little boy, short white hair, cat ears, red fox eyes, black round glasses collar, cool, cute, earrings, fox tail"
"白发红瞳猫娘","best quality, masterpiece, highere, original, extremely detailed 8k wallpaper, 1girl, black tights, cat ears, white hair, red eyes, maid, anextremely delicate and beautiful"
"贴贴","yellow_eyes,black hair,best quality,highres,petite,black string bikini,long_hair,solo,wet,medium_breasts,thigh strap,​ahega​o,torogao,lying on back,presenting armpit,open  legs,orgasm"
"美女被杀死","fighting_stance,torn_thighhighs,skindentation	,closed mouth,soaked,bikini,loli,three sided view,underboob,large_breasts,High heeled boots"
"万能反面（集合）","missing fngers,extra digt ,fewer digits,low quality,watermark, bad feet,extra fingers,mutated hands,poorly drawn hands,fused fingers,too many fingers,bad anatomy, cropped, wort quality ,low quality,normal quality, jpeg artifacts,signature,watermark, bad feet,mutilated,too many fingers,malformed limbs,more than 2 knee,mutated hands,vore,pregnant,mutilated,morbid,bad proportions,missing legs,extra limbs,multiple breasts, (mutated hands and fingers:1.5 ), (long body :1.3), (mutation, poorly drawn :1.2) , black-white, bad anatomy, liquid tongue, disfigured,  error, malformed hands, long neck, blurred, lowres,  bad proportions, bad shadow, uncoordinated body, unnatural body, fused breasts, bad breasts, huge breasts, poorly drawn breasts, extra breasts, liquid breasts, heavy breasts, missing breasts, huge haunch, huge thighs, huge calf, bad hands, fused hand, missing hands"
"赛博人","blonde_hair/yellow_eyes,messy_hair,standing,clenched hands,facing viewer,Loong, dragon background, loong background,colorful startrails,firearms,Samurai Sword,Tactical bulletproof vest,backpack,beret,bulge,doll joints,fingerless gloves"
"中世纪的街道","forest,outline,fountain,shop,outdoors,east asian architecture,greco-roman architecture,restaurant,shanty town/slum"
"可爱的正太","masterpiece,best quality,official art,extremely detailed CG unity 8k wallpaper , night, cityscape, artbook, game_cg, huge_filesize, wallpaper,{{{honkai3 kiana}}}, {science_fiction},girl, bishoujo, white long hair, hair ornament, blue beautiful detailed eyes ,diamond/quasi star-shaped pupils,fighting_stance, sense of science and technology white  skirt {{armor}}ornament black,{{breastplate, hand armor and arm armor }},bare_shoulders , {{{upper ventral {space}}}},white kneehighs ,{flapping  {{{bron }}cloak {{{made of red flame and black ahs}}}}}, white heeled boots, { holding flame} red big sword, hair ornament,  ,soaked,super hugeness breasts,long_hair,top-down_bottom-up,ass visible through thighs,Bare thigh,big ass,no_panties,thigh strap,(((masterpiece))),(((best quality))),((ultra-detailed))((extremely detailed CG)),((8k_wallpaper))((an extremely delicate and beautiful)),dynamic angle,floating, (beautiful detailed eyes),an extremely delicate and beautiful girl,(red moon), starry sky,shine,frills,half closed"
"找亲人的少女","1girl,Dark red cap,blind in one eye,Orange hair,poker face,dark rad windbreaker,brown silk stockings,flame boots and gloves"
"二次元萝莉","best quality, masterpiece, highres, original, extremely detailed 8K wallpaper, 1girl, black tights, cat ears, white hair, red eyes, maid, an extremely delicate and beautiful"
"岁","super hugeness breasts,cleavage,huge_breasts,large_breasts,ray tracing,{best quality}, {{masterpiece}}, {highres}, original, extremely detailed 8K wallpaper, {an extremely delicate and beautiful},incredibly_absurdres,colorful,intricate detail,artbook,looking at viewer,(from side:1.2),( head tilt:1.65),(leaning_back:1.25),top-down_bottom-up,double peace hand"
"兴奋的萝莉","head tilt,turning left,looking down,looking up,nude,loil,tears,bedroom,shy,wet,gold hair,long hair,cute"
"白色","top-down_bottom-up,white pantyhose,dakimakura,{best quality}, {{masterpiece}}, {highres}, original, extremely detailed 8K wallpaper, 1girl, {an extremely delicate and beautiful},ray tracing,gradient hair,twintails,breast hold,huge_breasts"
"白毛萝莉","yellow_eyes,black hair,best quality,highres,petite,black string bikini,long_hair,solo,wet,medium_breasts,thigh strap,​ahega​o,torogao,lying on back,presenting armpit,open  legs,orgasm"
"天使与触手","mature female, white and block eyes,white hair,very long hair,hair flowing over,wavy hair,gold halo on hair, white and gold neck necklace,very big white feathers wings,small breasts,white very long dress,white thighhighs, tiptoes,floating white feathers, masterpiece, best quality,block tentacle sex, forced orgasm, no panties, clitoris, Leakage of urine,breasts out, medium breasts, puffy nipples, cum_in_mouth to block tentacles, Kinky lines,too much sarcoma in tentacles,vaginal object insertion"
"月下水上白丝小女孩（正）","extremely detailed CG unity 8k wallpaper,{best quality}, {{masterpiece}}, {highres}, original, {an extremely delicate and beautiful},{{{{1girl}}}},moonlight,{full moon},surface of the water,inverted reflection in water,White dress,Flying petals,very_long_hair,flat_chest,hair ribbon,veil mouth veil"
"就要涩涩","very_long_hair,white_hair,red_eyes,tongue out,presenting armpit,ahegao,heart-shaped pupils,garter straps garter belt,huge_breasts,large_breasts"
"oc咱","Little boy, short white hair, cat ears, red fox eyes, black round glasses collar, cool, cute, earrings, fox tail,shackles,short_hair,high ponytail,curly hair,bulge,small_breasts,papilla,Exhibitionism,insertionExtreme expansionstomach protrusion,tentacle_sex,Leakage of urine,Nipples,from below,slim legs,leg up,breast hold,close-up,symmetrical,yellow_eyes,black hair,best quality,highres,petite,black string ​bikin​i,long_hair,solo,wet,medium_breasts,thigh strap,ahegao,torogao,lying on back,presenting armpit,open  legs,orgasm   ,full body,embarrassed,orgasm,ahoge,white_hair/blue_ey,multiple girls,best quality, masterpiece, highres, original, 1girl, extremely detailed 8K wallpaper, an extremely delicate and beautiful, (summer_festival), fireworks, cinematic lighting, depth of field"
"我去,初音未来！","Hatsune Miku, blue-green ponytail, formula suit, performs on the stage."
"无题","best quality, masterpiece, highere, original, extremely detailed 8k wallpaper, 1girl, black tights, cat ears, white hair, red eyes, maid, anextremely delicate and beautiful,spread toes,presenting foot,barefoot,Bare thigh,ass visible through thighs,presenting panties,shaded face,slit pupils,eyeshadow,backless dress,lace-trimmed panties,black pantyhose,no shoe,large_breasts"
"彩虹","best quality, masterpiece, highere, original, extremely detailed 8k wallpaper, 1girl, black tights, cat ears, white hair, red eyes, maid, anextremely delicate and beautiful"
"有喜","masterpiece,best quality,official art,extremely detailed CG unity 8k wallpaper , night, cityscape, artbook, game_cg, huge_filesize, wallpaper,{{{honkai3 kiana}}}, {science_fiction},girl, bishoujo, white long hair, hair ornament, blue beautiful detailed eyes ,diamond/quasi star-shaped pupils,fighting_stance, sense of science and technology white  skirt {{armor}}ornament black,{{breastplate, hand armor and arm armor }},bare_shoulders , {{{upper ventral {space}}}},white kneehighs ,{flapping  {{{bron }}cloak {{{made of red flame and black ahs}}}}}, white heeled boots, { holding flame} red big sword, hair ornament,  "
"试一试","arknights,masterpiece,best quality,official art,extremely detailed CG unity 8k wallpaper,{{{kaltsit (arknights)}}},light green white hair,empty eyes,expressionless,bare_shoulders, detached_sleeves, flat_chest,mature female, {backless dress},medium hair, light green eyes,cat ears,highres"
"狐耳少年","Girl,fox ears,Long white hair,A little red hair,Red eyes"
"不屑的御姐","chinese clothes,china dress,best quality, masterpiece, highere, original, extremely detailed 8k wallpaper, 1girl, black tights, cat ears, white hair, red eyes, maid, anextremely delicate and beautiful,bikini"
"躺在床上","long hair,medium breast, completely nude,highly detailed,garter belt,lying on back,Perfect female body, solo, lace-trimmed bra,legs up"
"超蛇","side_ponytail,purple_hair/purple_eyes,pair of horns,straight-on,cropped shoulders  ,red moon,building architecture,ruins,anime screencap,dragon girl,(petite),lolita fashion,solo focus,arms crossed,gothic_lolita,(white_thighhighs),(((top-down bottom-up,fucked silly,half-closed eyes,miniskirt,white stocking,rabbit tail,thigh strap,nurse cap,yellow_eyes,black hair,best quality,highres,petite,black string bikini,long_hair,solo,wet,medium_breasts,thigh strap,​ahega​o,torogao,lying on back,presenting armpit,open  legs,orgasm,cinematiclighting,)))"
"拜托了","white_hair red_eyes long_hair chemise leggings caramelldansen,beautiful detailed water,sunlight,medium_breasts,wings,cross necklace,white_windbreaker,beautiful detailed eyes,sad,feet up,own hands together,pray,closed mouth,looking up,white_hair,long_hair,Perfect female body,meticulous painting,anime screencap,ocean,snow,full body,from above"
"舌","soaked,super hugeness breasts,long_hair,top-down_bottom-up,ass visible through thighs,Bare thigh,big ass,no_panties,thigh strap,(((masterpiece))),(((best quality))),((ultra-detailed))((extremely detailed CG)),((8k_wallpaper))((an extremely delicate and beautiful)),dynamic angle,floating, (beautiful detailed eyes),an extremely delicate and beautiful girl,(red moon), starry sky,shine,frills,half closed eyes,red eyes,burning,detailed light,(black_hair),bloom,(((miko))),((hair pink flowers)),{aqua eyes},(((small breast))),((miko)),(long_hair),nube,untied bikini,pantyhose,full body,from below,pov crotch,lens 135mm,f1.8,space background,indoors,anime screencap,meticulous painting,multiple girls,slim waist,Perfect female body,long hair,(very long hair),foot length hair,long hair to the ground,pink hair,red_eyes,looking back,heavy breathing,crazy angry smile,clenched_teeth,troll face ,smug doyagao,clenched teeth,bent over,bare shoulders,open your legs wide,armpits,girl on top,drunk,beautiful detailed eyes,tsurime,b"
"被催眠的（更新）","looking up,no pupils,empty eyes,drooling,messy_hair,open  mouth,glowing eyes,(half-closed eyes,),(expressionless),open  mouth"
"我不到啊","Little boy, short white hair, cat ears, red fox eyes, black round glasses collar, cool, cute, earrings, fox tail,curly_hair,gradient hair,green hair,Vaporwave,vampire,handjob gesture,crossed legs,drunk,crazy eyes,wind coat,shorts,fingerless gloves,sneakers,wire"
